2026-04-29T20:53:06.367006 - Запущен evaluator для задания 38e54250-e4e6-4538-8f8c-8c4c725c7b29, тип 2
2026-04-29T20:53:06.367369 - SITL запущен, ожидание инициализации...
2026-04-29T20:53:21.367885 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:53:21.746532 - Heartbeat получен, соединение установлено.
2026-04-29T20:53:21.746680 - Открытие TCP-сервера на порту 14607...
2026-04-29T20:53:21.747028 - Ожидание подключения Mission Planner на порту 14607
2026-04-29T20:53:23.911325 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:53:24.896998 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T20:53:25.932089 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:27.926822 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:29.916496 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:31.933224 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:32.226215 - Миссия загружена, количество точек: 6 (критерий 1 выполнен)
2026-04-29T20:53:33.933378 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:36.164503 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:38.177686 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:40.395477 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:42.397497 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:44.395175 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:46.395533 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:48.645392 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:53:50.651846 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
