2026-05-01T21:48:09.052994 - Запущен evaluator для задания 57b769c7-3862-4427-8fde-1ce4669b50fb, тип 1
2026-05-01T21:48:09.055908 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-01T21:48:09.058335 - SITL запущен, ожидание инициализации...
2026-05-01T21:48:24.058489 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-01T21:48:24.880655 - Heartbeat получен, соединение с SITL установлено.
2026-05-01T21:48:24.880717 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-01T21:48:24.880858 - Ожидание подключения Mission Planner на порту 14601
2026-05-01T21:48:25.444494 - Предполётная подготовка (критерий 1) выполнена
2026-05-01T21:48:25.470720 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:27.457246 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:29.509743 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:31.692086 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:33.691990 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:35.694501 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:37.694876 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:39.705593 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:41.706072 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:43.706759 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:45.872520 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:47.900479 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:49.908415 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:51.893211 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:53.904907 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:55.901006 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:48:58.152600 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:00.153507 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:02.143501 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:04.365863 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:06.378170 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:08.384207 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:10.382734 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:12.386533 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:14.376834 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:16.388653 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:18.613965 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:20.619659 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:22.631699 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:24.621977 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:26.632783 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T21:49:28.865629 - Взлёт на 31.0 м (критерий 2 выполнен)
2026-05-01T21:49:28.887016 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:30.886939 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:32.886151 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:34.882004 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:36.898171 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:38.888111 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:40.905398 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:42.904210 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:44.909469 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:46.906603 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:49.154686 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:51.156046 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:53.157459 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:55.404163 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:57.404388 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:49:59.406549 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:01.410785 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:03.659706 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:05.668140 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:07.899096 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:09.903588 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:11.910628 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:13.908884 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:15.903240 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:17.913427 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T21:50:19.923645 - Прогресс: {1: 100, 2: 100, 3: 1, 4: 0}
2026-05-01T21:50:21.923098 - Прогресс: {1: 100, 2: 100, 3: 3, 4: 0}
2026-05-01T21:50:24.158865 - Прогресс: {1: 100, 2: 100, 3: 7, 4: 0}
2026-05-01T21:50:25.141364 - Пройдено 51 м, прогресс 10%
2026-05-01T21:50:26.162949 - Прогресс: {1: 100, 2: 100, 3: 11, 4: 0}
2026-05-01T21:50:28.167145 - Прогресс: {1: 100, 2: 100, 3: 16, 4: 0}
2026-05-01T21:50:30.147967 - Пройдено 102 м, прогресс 20%
2026-05-01T21:50:30.164705 - Прогресс: {1: 100, 2: 100, 3: 20, 4: 0}
2026-05-01T21:50:32.409560 - Прогресс: {1: 100, 2: 100, 3: 23, 4: 0}
2026-05-01T21:50:34.401500 - Прогресс: {1: 100, 2: 100, 3: 23, 4: 0}
2026-05-01T21:50:35.398179 - Пройдено 154 м, прогресс 30%
2026-05-01T21:50:36.420878 - Прогресс: {1: 100, 2: 100, 3: 30, 4: 0}
2026-05-01T21:50:38.411089 - Прогресс: {1: 100, 2: 100, 3: 36, 4: 0}
2026-05-01T21:50:40.396256 - Пройдено 204 м, прогресс 40%
2026-05-01T21:50:40.414605 - Прогресс: {1: 100, 2: 100, 3: 40, 4: 0}
2026-05-01T21:50:42.555910 - Прогресс: {1: 100, 2: 100, 3: 42, 4: 0}
2026-05-01T21:50:44.573080 - Прогресс: {1: 100, 2: 100, 3: 47, 4: 0}
2026-05-01T21:50:45.801885 - Пройдено 254 м, прогресс 50%
2026-05-01T21:50:46.571157 - Прогресс: {1: 100, 2: 100, 3: 52, 4: 0}
2026-05-01T21:50:48.572296 - Прогресс: {1: 100, 2: 100, 3: 56, 4: 0}
2026-05-01T21:50:50.585410 - Прогресс: {1: 100, 2: 100, 3: 58, 4: 0}
2026-05-01T21:50:52.829234 - Прогресс: {1: 100, 2: 100, 3: 63, 4: 0}
2026-05-01T21:50:54.824916 - Прогресс: {1: 100, 2: 100, 3: 68, 4: 0}
2026-05-01T21:50:56.814216 - Прогресс: {1: 100, 2: 100, 3: 69, 4: 0}
2026-05-01T21:50:58.813572 - Прогресс: {1: 100, 2: 100, 3: 76, 4: 0}
2026-05-01T21:51:00.555626 - Пройдено 401 м, прогресс 80%
2026-05-01T21:51:00.826577 - Прогресс: {1: 100, 2: 100, 3: 80, 4: 0}
2026-05-01T21:51:03.065189 - Прогресс: {1: 100, 2: 100, 3: 84, 4: 0}
2026-05-01T21:51:05.062996 - Прогресс: {1: 100, 2: 100, 3: 89, 4: 0}
2026-05-01T21:51:05.558189 - Пройдено 451 м, прогресс 90%
2026-05-01T21:51:07.070376 - Прогресс: {1: 100, 2: 100, 3: 93, 4: 0}
2026-05-01T21:51:09.065153 - Прогресс: {1: 100, 2: 100, 3: 96, 4: 0}
2026-05-01T21:51:11.323084 - Прогресс: {1: 100, 2: 100, 3: 99, 4: 0}
2026-05-01T21:51:11.803964 - Пройдено 514 м, прогресс 100%
2026-05-01T21:51:13.726557 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:15.731120 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:17.721444 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:19.721733 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:21.731931 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:23.721538 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:25.740060 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:27.984965 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:29.986110 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:31.985022 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:33.993664 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:35.999279 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:37.990572 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:40.002793 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:42.248010 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:44.474133 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:46.644617 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:48.656637 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:50.647603 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:52.653700 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:54.661995 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:56.902060 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:51:58.903604 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:00.902875 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:02.915800 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:05.154737 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:07.145899 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:09.162188 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:11.162967 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:13.395106 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:15.419173 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:17.418172 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T21:52:19.626149 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
