2026-04-29T20:21:49.399340 - Запущен evaluator для задания 5800e070-e3fb-4f11-bdf3-ceee6dd66afd, тип 2
2026-04-29T20:21:49.399748 - SITL запущен, ожидание инициализации...
2026-04-29T20:22:04.400195 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:22:04.436951 - Heartbeat получен, соединение установлено.
2026-04-29T20:22:04.436999 - Открытие TCP-сервера на порту 14602...
2026-04-29T20:22:04.437151 - Ожидание подключения Mission Planner на порту 14602
2026-04-29T20:22:05.013225 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:22:07.415618 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:22:08.787592 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T20:22:09.530257 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:11.759311 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:13.782629 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:15.789171 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:17.788451 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:20.036813 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:22.034392 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:24.045012 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:26.045708 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:28.048174 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:30.036473 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:32.283979 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:34.292304 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:36.294115 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:38.296122 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:40.310961 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:42.541985 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:44.555906 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:46.773971 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:48.775649 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:50.782229 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:52.781814 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:54.791109 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:56.783841 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:22:58.791538 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:00.799382 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:02.950789 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:05.051822 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:07.057330 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:09.051419 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:11.046162 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:13.280500 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:15.287050 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:17.279730 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:19.787117 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:21.791868 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:23.796951 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:25.798114 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:27.799427 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:29.797148 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:31.801815 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:33.803843 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:36.042423 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:38.046489 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:40.059191 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:42.281377 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:44.289109 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:46.284521 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:48.291476 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:50.301409 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:52.780677 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:54.798225 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:56.799676 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:23:58.808215 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:00.801655 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:02.799403 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:04.807579 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:07.048451 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:09.041156 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:11.052018 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:13.301639 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:15.295396 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:17.305124 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:19.307317 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:21.458877 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:23.454310 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:25.555245 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:27.557787 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:29.553062 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:31.564830 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:33.784819 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:35.797105 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:38.049017 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:41.122695 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:43.120342 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:45.116378 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:47.120308 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:49.118965 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:51.123348 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:53.122167 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:55.132677 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:57.366710 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:59.371192 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:01.362486 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:03.358718 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:05.530809 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:07.617808 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:09.612811 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:11.623545 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:14.063882 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:16.064719 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:18.079167 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:20.220201 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:22.217448 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:24.227678 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:26.304215 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:28.306991 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
