2026-04-29T20:46:39.452170 - Запущен evaluator для задания 60c1d8a6-c447-466e-8195-911ea09089ca, тип 2
2026-04-29T20:46:39.452518 - SITL запущен, ожидание инициализации...
2026-04-29T20:46:54.452974 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:46:55.293322 - Heartbeat получен, соединение установлено.
2026-04-29T20:46:55.293422 - Открытие TCP-сервера на порту 14606...
2026-04-29T20:46:55.293657 - Ожидание подключения Mission Planner на порту 14606
2026-04-29T20:46:55.925967 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:46:58.642938 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:46:58.682165 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T20:47:01.412614 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:03.412222 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:05.411455 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:07.409833 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:09.410089 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:11.419807 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:13.416141 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:15.425819 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:17.422655 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:19.430179 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:21.429077 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:23.436758 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:25.435915 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:26.359818 - Миссия загружена, количество точек: 6 (критерий 1 выполнен)
2026-04-29T20:47:27.435617 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:29.432480 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:31.440965 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:33.436754 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:35.536254 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:47:36.939193 - Режим AUTO активирован
2026-04-29T20:47:37.534861 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
