2026-04-29T21:10:34.738075 - Запущен evaluator для задания 7a01792c-724c-4e89-a539-b0278d37c5e8, тип 2
2026-04-29T21:10:34.738536 - SITL запущен, ожидание инициализации...
2026-04-29T21:10:50.761776 - Подключение к MAVProxy на UDP 14550...
2026-04-29T21:10:51.398440 - Heartbeat получен, соединение установлено.
2026-04-29T21:10:51.398736 - Открытие TCP-сервера на порту 14602...
2026-04-29T21:10:51.399292 - Ожидание подключения Mission Planner на порту 14602
2026-04-29T21:10:52.182147 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T21:10:52.547772 - Стартовая позиция зафиксирована: (-35.3632621, 149.1652374)
2026-04-29T21:10:53.061975 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T21:10:54.172066 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:10:56.127796 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:10:58.126783 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:00.123983 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:02.129039 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:04.133501 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:06.146367 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:08.381759 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:10.383331 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:13.214684 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:15.345475 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:17.348170 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:19.361459 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:22.363016 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:24.363184 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:26.427331 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:27.695251 - Режим AUTO активирован
2026-04-29T21:11:28.427803 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:30.431640 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:32.434114 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:33.916662 - Все waypoint'ы миссии пройдены
2026-04-29T21:11:34.431838 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:36.429251 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:38.435074 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:40.434546 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:42.678842 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:44.685096 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:46.850943 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:48.917591 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:50.922876 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:52.923769 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:55.693422 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:57.712985 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:11:59.895280 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:01.885212 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:03.897161 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:05.899283 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:07.381086 - Все waypoint'ы миссии пройдены
2026-04-29T21:12:07.906509 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:09.949732 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:11.947933 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:13.950715 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:15.122988 - Миссия загружена, количество точек: 6 (критерий 1 выполнен)
2026-04-29T21:12:15.953765 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:17.950398 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:19.952498 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:21.950392 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:23.951934 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:25.959610 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:28.947754 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:12:29.197099 - Пройдена точка 3, прогресс выполнения маршрута: 50%
2026-04-29T21:12:30.962988 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T21:12:32.956854 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T21:12:34.958586 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T21:12:37.397049 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T21:12:39.397243 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T21:12:41.449551 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T21:12:42.200102 - Пройдена точка 4, прогресс выполнения маршрута: 66%
2026-04-29T21:12:43.493291 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T21:12:45.457407 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T21:12:47.734827 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T21:12:49.900203 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T21:12:51.905438 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T21:12:53.906801 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T21:12:55.202091 - Пройдена точка 5, прогресс выполнения маршрута: 83%
2026-04-29T21:12:56.214770 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:12:58.216118 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:00.223165 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:02.224907 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:04.228418 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:06.232045 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:08.232927 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:10.464974 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:12.471429 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:14.468896 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:16.475740 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:18.727045 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:20.724753 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:22.898752 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:24.970473 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:26.974061 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:28.973699 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:30.966991 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:32.965501 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:35.477545 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:37.471797 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:39.472181 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:41.484945 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:43.485856 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:45.488860 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:47.485773 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:49.476837 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:51.491223 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:53.494827 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:55.487899 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:57.492763 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:13:59.616685 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:01.728707 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:03.732656 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:05.734370 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:08.751830 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:10.757083 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:12.757655 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:14.758410 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:16.751242 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:18.762048 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:20.764650 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:22.771097 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:24.935863 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:27.006135 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:29.012416 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:14:30.999494 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
