2026-04-29T19:49:19.085875 - Запущен evaluator для задания a1ba72d5-ded0-4e41-b3df-db7a368464a7, тип 1
2026-04-29T19:49:19.086203 - SITL запущен, ожидание инициализации...
2026-04-29T19:49:34.869454 - Подключение к MAVProxy на UDP 14550...
2026-04-29T19:49:35.480960 - Heartbeat получен, соединение установлено.
2026-04-29T19:49:35.481148 - Открытие TCP-сервера на порту 14601...
2026-04-29T19:49:35.481683 - Ожидание подключения Mission Planner на порту 14601
2026-04-29T19:49:36.033396 - Предполётная подготовка (критерий 1) выполнена
2026-04-29T19:49:36.051269 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:38.121794 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:40.296749 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:42.294902 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:44.283880 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:46.297499 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:48.297866 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:50.297008 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:52.302588 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:54.308920 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:56.304957 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:49:58.309083 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:00.308957 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:02.312874 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:04.340609 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:06.341593 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:08.346402 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:10.348950 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:12.421942 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:14.420886 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:16.439311 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:18.434500 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:20.435464 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:22.442446 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:24.598491 - Прогресс: взлёт=100% полёт=0% дистанция=0% посадка=0%
2026-04-29T19:50:25.835451 - Взлёт на 32.4 м (критерий 2 выполнен)
2026-04-29T19:50:26.601871 - Прогресс: взлёт=100% полёт=100% дистанция=0% посадка=0%
2026-04-29T19:50:28.847628 - Прогресс: взлёт=100% полёт=100% дистанция=0% посадка=0%
2026-04-29T19:50:30.848280 - Прогресс: взлёт=100% полёт=100% дистанция=0% посадка=0%
2026-04-29T19:50:32.845877 - Прогресс: взлёт=100% полёт=100% дистанция=0% посадка=0%
2026-04-29T19:50:34.852433 - Прогресс: взлёт=100% полёт=100% дистанция=2% посадка=0%
2026-04-29T19:50:37.116838 - Прогресс: взлёт=100% полёт=100% дистанция=5% посадка=0%
2026-04-29T19:50:39.131675 - Прогресс: взлёт=100% полёт=100% дистанция=8% посадка=0%
