2026-05-01T22:32:34.074324 - Запущен evaluator для задания b9d7f6fa-50f9-49e2-b9ab-c3d5e29ad694, тип 1
2026-05-01T22:32:34.074393 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-01T22:32:34.075297 - SITL запущен, ожидание инициализации...
2026-05-01T22:32:49.679566 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-01T22:32:50.482964 - Heartbeat получен, соединение с SITL установлено.
2026-05-01T22:32:50.483009 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-01T22:32:50.483210 - Ожидание подключения Mission Planner на порту 14601
2026-05-01T22:32:51.067868 - Предполётная подготовка (критерий 1) выполнена
2026-05-01T22:32:53.073239 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:32:53.707387 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:32:57.074098 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:32:59.079139 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:01.571837 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:03.578130 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:05.577659 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:07.596054 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:09.831845 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:11.831308 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:13.847688 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:15.956184 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:17.957904 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:33:20.123664 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
