2026-05-08T00:53:36.844779 - Запущен evaluator для задания bfa807ad-b8b4-4fb5-b3d2-63ad8cb60000, тип 2
2026-05-08T00:53:36.844865 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-08T00:53:36.845488 - SITL запущен, ожидание инициализации...
2026-05-08T00:53:51.845809 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-08T00:53:52.768075 - Heartbeat получен, соединение с SITL установлено.
2026-05-08T00:53:52.768300 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-08T00:53:52.768927 - Ожидание подключения Mission Planner на порту 14601
2026-05-08T00:53:53.424438 - Прогресс: {1: 0, 2: 0, 3: 0, 4: 0}
2026-05-08T00:53:55.768973 - Прогресс: {1: 0, 2: 0, 3: 0, 4: 0}
2026-05-08T00:53:56.104259 - Стартовая позиция зафиксирована
2026-05-08T00:53:56.146245 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-05-08T00:53:57.871678 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:53:59.870402 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:01.911529 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:03.924019 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:05.925069 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:07.914243 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:09.921151 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:12.111645 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:14.126519 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:16.123810 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:18.129780 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:20.362832 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:22.367482 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:24.367689 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:26.372682 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:28.379535 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:30.621368 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:32.634284 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:34.621219 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:36.635555 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:38.628228 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:40.773812 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:42.872244 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:44.872888 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:46.874803 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:48.878753 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:50.872121 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:52.875271 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:54.879094 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:56.876617 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:54:58.876070 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:00.875857 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:02.876239 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:04.878689 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:06.886138 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:08.882298 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:10.884256 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:12.932765 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:15.142482 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:17.381806 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:19.380198 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:21.381538 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:23.402872 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:25.631412 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:27.627473 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:29.630282 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
2026-05-08T00:55:31.632050 - Прогресс: {1: 0, 2: 0, 3: 100, 4: 0}
