2026-05-03T20:00:34.189491 - Запущен evaluator для задания cf3f9740-c510-4fe4-bb9f-73b97d85a65e, тип 1
2026-05-03T20:00:34.189559 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-03T20:00:34.191376 - SITL запущен, ожидание инициализации...
2026-05-03T20:00:49.191764 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-03T20:00:49.854238 - Heartbeat получен, соединение с SITL установлено.
2026-05-03T20:00:49.854424 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-03T20:00:49.854799 - Ожидание подключения Mission Planner на порту 14601
2026-05-03T20:00:50.483326 - Предполётная подготовка (критерий 1) выполнена
2026-05-03T20:00:50.703488 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:00:52.488464 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:00:54.491255 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:00:56.503595 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:00:59.113933 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:01.104127 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:03.241950 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:05.419872 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:07.492777 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:09.494564 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:11.496318 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:13.505109 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:15.507394 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:17.507474 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:19.868799 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:21.756155 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:23.755992 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:25.749230 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:27.764180 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:29.778799 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:33.440776 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:35.440613 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:37.441209 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:39.443693 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:41.461562 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-03T20:01:43.464513 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
