2026-04-29T20:43:16.446234 - Запущен evaluator для задания d28cad94-5770-4a7b-89c2-365f146777af, тип 2
2026-04-29T20:43:16.446644 - SITL запущен, ожидание инициализации...
2026-04-29T20:43:31.447047 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:43:32.080919 - Heartbeat получен, соединение установлено.
2026-04-29T20:43:32.080986 - Открытие TCP-сервера на порту 14605...
2026-04-29T20:43:32.081132 - Ожидание подключения Mission Planner на порту 14605
2026-04-29T20:43:32.699996 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:43:34.698058 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:43:35.458204 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T20:43:36.940831 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:38.929658 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:40.932825 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:43.072003 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:45.085300 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:47.089445 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:49.320132 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:51.314012 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:53.322353 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:55.569133 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:57.588990 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:43:59.593719 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:01.591912 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:03.593865 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:05.826530 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:06.975513 - Режим AUTO активирован
2026-04-29T20:44:07.815949 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:09.821648 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:11.825140 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:13.826606 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:15.862333 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:17.963610 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:19.967121 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:21.967830 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:23.964249 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:25.257068 - Миссия загружена, количество точек: 7 (критерий 1 выполнен)
2026-04-29T20:44:26.207502 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:28.205353 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:30.203103 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:32.200693 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:34.457358 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:36.472899 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:38.464058 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:40.479778 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:42.484822 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:44:44.483973 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:44:46.714824 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:44:49.089881 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:44:51.086394 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:44:53.085597 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:44:55.093781 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:44:57.090570 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:44:59.092666 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:45:01.088790 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:45:03.089494 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:45:05.095085 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:45:07.348359 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:45:09.350431 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:11.337144 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:13.368707 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:15.370453 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:17.381800 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:19.375940 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:21.991374 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:45:24.214812 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:26.224852 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:28.226585 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:30.230016 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:32.233547 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:34.219065 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
