2026-04-29T20:59:14.590291 - Запущен evaluator для задания e4e431aa-22e7-4fcf-a687-819622c74eb1, тип 2
2026-04-29T20:59:14.590692 - SITL запущен, ожидание инициализации...
2026-04-29T20:59:29.591004 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:59:30.100214 - Heartbeat получен, соединение установлено.
2026-04-29T20:59:30.100459 - Открытие TCP-сервера на порту 14608...
2026-04-29T20:59:30.100914 - Ожидание подключения Mission Planner на порту 14608
2026-04-29T20:59:30.710164 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:59:33.212526 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:59:33.476319 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T20:59:35.209332 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:36.863895 - Миссия загружена, количество точек: 6 (критерий 1 выполнен)
2026-04-29T20:59:37.431585 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:39.445418 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:41.449136 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:43.692141 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:45.783001 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:48.314066 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:50.515763 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:52.513030 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:54.610622 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:56.861284 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:59:58.862896 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:00:00.870507 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:00:02.863701 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:00:05.105633 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:00:05.174394 - Режим AUTO активирован
2026-04-29T21:00:07.104227 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:00:09.112702 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T21:00:11.102878 - Прогресс: взлёт=100% полёт=16% дистанция=100% посадка=0%
2026-04-29T21:00:13.102405 - Прогресс: взлёт=100% полёт=16% дистанция=100% посадка=0%
2026-04-29T21:00:15.101749 - Прогресс: взлёт=100% полёт=16% дистанция=100% посадка=0%
