2026-04-29T20:33:20.190473 - Запущен evaluator для задания f07e3efb-4114-497f-97be-fe333bb60f8d, тип 2
2026-04-29T20:33:20.190870 - SITL запущен, ожидание инициализации...
2026-04-29T20:33:35.191048 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:33:35.610376 - Heartbeat получен, соединение установлено.
2026-04-29T20:33:35.610491 - Открытие TCP-сервера на порту 14603...
2026-04-29T20:33:35.610784 - Ожидание подключения Mission Planner на порту 14603
2026-04-29T20:33:38.033537 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:33:38.260259 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:33:40.616278 - Прогресс: взлёт=0% полёт=0% дистанция=0% посадка=0%
2026-04-29T20:33:41.991618 - Сбор данных (телеметрия) зафиксирован (критерий 3 выполнен)
2026-04-29T20:33:42.647253 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:45.521101 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:47.528015 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:49.566903 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:51.643750 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:53.653779 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:55.655578 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:57.659712 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:33:59.664970 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:01.667195 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:03.663530 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:05.667683 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:07.667809 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:09.677567 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:11.670547 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:13.702069 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:15.914909 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:18.873278 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:20.868197 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:23.122816 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:25.120395 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:25.421813 - Миссия загружена, количество точек: 7 (критерий 1 выполнен)
2026-04-29T20:34:27.132383 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:29.122994 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:31.115431 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:33.129561 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:35.133519 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:37.122849 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:39.124127 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:41.135307 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:43.134573 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:45.135075 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:46.528071 - Режим AUTO активирован
2026-04-29T20:34:47.135360 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:49.131912 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:34:52.130509 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
